# Particles file: positions, velocities, colors, radii
-0.48297 -1.37434 -0.58736	 0.00000 -0.01217  0.00000	 0.49574  0.15602  0.19157	 0.03400
 1.16379  6.75264 -2.67650	-0.02077 -0.14415 -0.02372	 0.49578  0.15603  0.19159	 0.03400
-4.35967  1.28373 -4.34122	-0.03914  0.06658 -0.06314	 0.49583  0.15605  0.19161	 0.03400
 0.65849 -1.46494  0.04235	 0.00000 -0.01217  0.00000	 0.49586  0.15606  0.19162	 0.03400
 2.29411  10.95001  0.77812	 0.04415 -0.07000 -0.06522	 0.49592  0.15608  0.19164	 0.03400
-0.59182 -0.93070 -0.52679	 0.00000 -0.01217  0.00000	 0.49596  0.15609  0.19166	 0.03400
-2.86276  2.14248 -3.31964	-0.08190  0.01214  0.05150	 0.49598  0.15610  0.19167	 0.03400
-0.12924 -0.62668 -0.56096	 0.00000 -0.01217  0.00000	 0.49603  0.15611  0.19168	 0.03400
-0.35154 -1.38930  0.59526	 0.00000 -0.01217  0.00000	 0.49609  0.15613  0.19171	 0.03400
 0.41501 -0.90168  0.49015	 0.00000 -0.01217  0.00000	 0.49615  0.15615  0.19173	 0.03400
-0.62966 -1.05537  0.16872	 0.00000 -0.01217  0.00000	 0.49617  0.15615  0.19174	 0.03400
-0.58554 -1.48821  0.21952	 0.00000 -0.01217  0.00000	 0.49620  0.15616  0.19175	 0.03400
-3.00636  19.73257 -1.47253	-0.02786 -0.03748 -0.10811	 0.49625  0.15618  0.19177	 0.03400
 0.35482 -1.50377  0.50023	 0.00000 -0.01217  0.00000	 0.49632  0.15620  0.19179	 0.03400
-0.27027 -1.44562 -0.06391	 0.00000 -0.01217  0.00000	 0.49635  0.15621  0.19181	 0.03400
-0.10914 -0.84308  0.75384	 0.00000 -0.01217  0.00000	 0.49641  0.15623  0.19183	 0.03400
-0.58702 -1.05530  0.18150	 0.00000 -0.01217  0.00000	 0.49647  0.15624  0.19185	 0.03400
 0.52274 -1.41291 -0.11348	 0.00000 -0.01217  0.00000	 0.49647  0.15625  0.19185	 0.03400
-0.07375 -0.99369 -0.33263	 0.00000 -0.01217  0.00000	 0.49653  0.15626  0.19188	 0.03400
 6.07788  19.75417 -1.67600	 0.31678 -0.00511 -0.02960	 0.49659  0.15628  0.19190	 0.03400
-4.80156  2.89244 -2.65352	-0.09429  0.04522  0.03051	 0.49664  0.15630  0.19192	 0.03400
-0.83782  0.79827 -0.22026	-0.01753 -0.02034 -0.01979	 0.49666  0.15631  0.19193	 0.03400
-5.19624  1.71023 -3.23179	-0.07918  0.00068 -0.01056	 0.49669  0.15631  0.19194	 0.03400
 0.74778  6.17759 -1.87614	-0.05133 -0.09545 -0.02270	 0.49677  0.15634  0.19197	 0.03400
 0.27351 -1.18904  0.83735	 0.00000 -0.01217  0.00000	 0.49682  0.15635  0.19199	 0.03400
 0.30603 -1.31102  0.38400	 0.00000 -0.01217  0.00000	 0.49685  0.15636  0.19200	 0.03400
 0.31818 -1.41588 -0.71141	 0.00000 -0.01217  0.00000	 0.49689  0.15638  0.19202	 0.03400
-0.32316  5.23295 -2.33509	-0.09015 -0.07633  0.00650	 0.49694  0.15639  0.19203	 0.03400
 0.76657 -1.04962 -0.27731	 0.00000 -0.01217  0.00000	 0.49698  0.15640  0.19205	 0.03400
-3.12181  2.66104 -3.56691	-0.06679  0.00917  0.04163	 0.49702  0.15641  0.19206	 0.03400
-1.56721  13.57500  1.22624	 0.05116  0.07094  0.10603	 0.49708  0.15643  0.19209	 0.03400
-0.66110 -0.96352  0.04733	 0.00000 -0.01217  0.00000	 0.49714  0.15645  0.19211	 0.03400
 0.94232  19.29228  2.29309	 0.02108  0.00428 -0.02906	 0.49716  0.15646  0.19212	 0.03400
 0.59667  8.76498 -0.97102	 0.01288  0.07786  0.01595	 0.49721  0.15647  0.19214	 0.03400
 1.90738  18.34869  3.60077	 0.03734  0.01542 -0.01830	 0.49726  0.15649  0.19216	 0.03400
-2.17580  1.43111 -0.08426	-0.02795 -0.00650 -0.00416	 0.49730  0.15650  0.19217	 0.03400
-4.68590  1.68078 -4.04666	-0.05871  0.04380  0.00261	 0.49733  0.15651  0.19218	 0.03400
-0.34901 -0.45461 -1.38626	 0.00000 -0.01217  0.00000	 0.49739  0.15653  0.19220	 0.03400
 0.80409 -1.19796  0.18016	 0.00000 -0.01217  0.00000	 0.49745  0.15655  0.19223	 0.03400
 0.58072 -1.19399 -0.55494	 0.00000 -0.01217  0.00000	 0.49746  0.15655  0.19223	 0.03400
 0.16512 -1.16587 -0.88059	 0.00000 -0.01217  0.00000	 0.49750  0.15656  0.19225	 0.03400
 0.18937 -1.20043  0.45150	 0.00000 -0.01217  0.00000	 0.49757  0.15658  0.19228	 0.03400
-2.16610  5.78981 -1.78761	 0.00201 -0.01908  0.02706	 0.49762  0.15660  0.19230	 0.03400
 1.06453  6.63441 -2.89964	-0.03847 -0.12952 -0.02221	 0.49764  0.15660  0.19230	 0.03400
-0.31085 -1.00975  0.87328	 0.00000 -0.01217  0.00000	 0.49769  0.15662  0.19232	 0.03400
-0.29185 -0.84846  0.77264	 0.00000 -0.01217  0.00000	 0.49775  0.15664  0.19234	 0.03400
-0.05304 -1.58080 -0.41303	 0.00000 -0.01217  0.00000	 0.49777  0.15665  0.19235	 0.03400
 0.17124 -1.12798  0.02462	 0.00000 -0.01217  0.00000	 0.49783  0.15666  0.19237	 0.03400
 0.14469 -1.42933  0.01239	 0.00000 -0.01217  0.00000	 0.49787  0.15668  0.19239	 0.03400
-0.36087 -0.93959 -0.67301	 0.00000 -0.01217  0.00000	 0.49792  0.15669  0.19241	 0.03400
 2.77707  17.16913  3.65365	 0.08089 -0.05020  0.00507	 0.49795  0.15670  0.19242	 0.03400
-4.99335  1.72635 -2.91860	-0.09493  0.01252  0.01999	 0.49802  0.15672  0.19245	 0.03400
 1.80177  18.36143  3.66094	 0.03932  0.01808 -0.00750	 0.49803  0.15673  0.19245	 0.03400
-1.02086  1.02532 -0.19136	-0.02586 -0.01337 -0.01197	 0.49808  0.15674  0.19247	 0.03400
 0.42752 -1.40415  0.66229	 0.00000 -0.01217  0.00000	 0.49816  0.15676  0.19250	 0.03400
-0.28437 -0.79121 -0.09754	 0.00000 -0.01217  0.00000	 0.49818  0.15677  0.19251	 0.03400
-1.56980  1.34529 -0.06123	-0.05011  0.01146 -0.02828	 0.49822  0.15678  0.19252	 0.03400
 0.59701 -1.04616 -0.08834	 0.00000 -0.01217  0.00000	 0.49827  0.15680  0.19254	 0.03400
-0.54835 -1.24071  0.57667	 0.00000 -0.01217  0.00000	 0.49831  0.15681  0.19256	 0.03400
 0.21715 -1.14096  0.78397	 0.00000 -0.01217  0.00000	 0.49835  0.15682  0.19258	 0.03400
 0.38289 -1.73669 -0.23325	 0.00000 -0.01217  0.00000	 0.49840  0.15684  0.19260	 0.03400
-3.84363  0.51800 -4.23203	-0.00287  0.01167 -0.06671	 0.49847  0.15686  0.19262	 0.03400
-0.37718 -0.77828  0.40156	 0.00000 -0.01217  0.00000	 0.49848  0.15686  0.19263	 0.03400
-2.00223  1.18340  2.17395	-0.02753 -0.03850  0.03134	 0.49853  0.15688  0.19265	 0.03400
-0.64269 -1.58884 -0.06223	 0.00000 -0.01217  0.00000	 0.49859  0.15690  0.19267	 0.03400
 6.43614  19.71467 -1.16561	 0.26941  0.00097 -0.08689	 0.49864  0.15691  0.19269	 0.03400
-0.24664 -0.32080  0.25622	 0.00000 -0.01217  0.00000	 0.49869  0.15693  0.19271	 0.03400
 0.22309 -1.31662 -0.67179	 0.00000 -0.01217  0.00000	 0.49871  0.15693  0.19271	 0.03400
 0.40615 -0.97133  0.02034	 0.00000 -0.01217  0.00000	 0.49878  0.15695  0.19274	 0.03400
 0.02856 -1.48374 -0.66496	 0.00000 -0.01217  0.00000	 0.49879  0.15696  0.19275	 0.03400
 0.72263 -1.06612 -0.36291	 0.00000 -0.01217  0.00000	 0.49886  0.15698  0.19277	 0.03400
-0.81242 -0.85201 -0.05250	 0.00000 -0.01217  0.00000	 0.49890  0.15699  0.19279	 0.03400
 0.34469 -1.16922  0.75300	 0.00000 -0.01217  0.00000	 0.49893  0.15700  0.19280	 0.03400
 0.65612 -1.17514  0.64664	 0.00000 -0.01217  0.00000	 0.49899  0.15702  0.19282	 0.03400
-1.27624  2.32101 -0.16809	-0.00565  0.02672  0.05671	 0.49903  0.15703  0.19284	 0.03400
 0.29821 -1.55935  0.01138	 0.00000 -0.01217  0.00000	 0.49909  0.15705  0.19286	 0.03400
 0.77490 -0.97722  0.25359	 0.00000 -0.01217  0.00000	 0.49911  0.15706  0.19287	 0.03400
 0.02094 -0.93171 -0.29850	 0.00000 -0.01217  0.00000	 0.49918  0.15708  0.19290	 0.03400
-0.65165 -0.84133 -0.10683	 0.00000 -0.01217  0.00000	 0.49920  0.15708  0.19290	 0.03400
-0.30931 -0.78770  0.18614	 0.00000 -0.01217  0.00000	 0.49925  0.15710  0.19292	 0.03400
-1.63662  1.17007 -1.40067	-0.06222 -0.00943  0.04090	 0.49929  0.15711  0.19294	 0.03400
 0.66711 -1.21682 -0.20922	 0.00000 -0.01217  0.00000	 0.49936  0.15713  0.19296	 0.03400
 1.32092  18.52349 -1.37719	 0.03941 -0.00997  0.10037	 0.49940  0.15715  0.19298	 0.03400
-2.77333  12.97576  2.81044	-0.05938 -0.05205  0.04813	 0.49943  0.15716  0.19299	 0.03400
-2.78940  5.51758 -1.70124	-0.00778  0.00869  0.08602	 0.49949  0.15718  0.19302	 0.03400
-4.08107  1.59641 -2.16186	-0.09796  0.02214  0.05142	 0.49951  0.15718  0.19302	 0.03400
 0.53926 -1.10655 -0.32822	 0.00000 -0.01217  0.00000	 0.49955  0.15719  0.19304	 0.03400
 2.55692  11.74151  0.86202	 0.07196 -0.03859 -0.01610	 0.49961  0.15721  0.19306	 0.03400
-5.11740  1.89825 -2.67038	-0.08702  0.01450  0.02531	 0.49965  0.15722  0.19308	 0.03400
-1.26590  2.67102  3.21949	-0.08945  0.04309  0.11518	 0.49967  0.15723  0.19308	 0.03400
-0.48790 -1.51508 -0.06344	 0.00000 -0.01217  0.00000	 0.49974  0.15725  0.19311	 0.03400
 0.87667 -1.27273 -0.11676	 0.00000 -0.01217  0.00000	 0.49978  0.15726  0.19312	 0.03400
-0.24590 -0.83739  0.79788	 0.00000 -0.01217  0.00000	 0.49982  0.15728  0.19314	 0.03400
-0.71277 -1.15438 -0.34506	 0.00000 -0.01217  0.00000	 0.49989  0.15730  0.19317	 0.03400
-0.42526 -1.11660 -0.32132	 0.00000 -0.01217  0.00000	 0.49992  0.15731  0.19318	 0.03400
 0.54964 -1.60724  0.22633	 0.00000 -0.01217  0.00000	 0.49997  0.15732  0.19320	 0.03400
 3.86956  19.78148 -0.15388	 0.23313 -0.00079 -0.06437	 0.50002  0.15734  0.19322	 0.03400
-1.19525  4.67875 -0.94447	 0.00149 -0.09561  0.06243	 0.50003  0.15734  0.19322	 0.03400
 0.59373 -1.14769 -0.49278	 0.00000 -0.01217  0.00000	 0.50010  0.15736  0.19325	 0.03400
-0.01218 -1.10259  0.71818	 0.00000 -0.01217  0.00000	 0.50015  0.15738  0.19327	 0.03400
-4.73355  2.49781 -2.54238	-0.09189  0.03529  0.02643	 0.50019  0.15739  0.19328	 0.03400
 0.21513 -0.96491 -0.46913	 0.00000 -0.01217  0.00000	 0.50023  0.15740  0.19330	 0.03400
 2.26408  19.43547  0.32168	 0.11302  0.05436 -0.00929	 0.50028  0.15742  0.19332	 0.03400
-0.48487 -1.13600 -0.18403	 0.00000 -0.01217  0.00000	 0.50033  0.15743  0.19334	 0.03400
-4.36290  2.19157 -2.29715	-0.08381  0.02436  0.03144	 0.50035  0.15744  0.19334	 0.03400
-5.09410  1.71200 -3.33822	-0.08327  0.00226 -0.00568	 0.50041  0.15746  0.19337	 0.03400
-0.12610 -0.99253 -0.04024	 0.00000 -0.01217  0.00000	 0.50045  0.15747  0.19338	 0.03400
-1.52580  15.75858 -0.53327	-0.06540  0.10039  0.18447	 0.50049  0.15748  0.19340	 0.03400
-0.77115 -0.85091 -0.20838	 0.00000 -0.01217  0.00000	 0.50053  0.15749  0.19341	 0.03400
-5.32264  2.00468 -2.79076	-0.08461  0.00831  0.01086	 0.50059  0.15751  0.19344	 0.03400
-0.52428 -0.82673  0.62777	 0.00000 -0.01217  0.00000	 0.50061  0.15752  0.19344	 0.03400
 4.60891  19.44338 -2.55422	 0.00319  0.03468 -0.04579	 0.50067  0.15754  0.19347	 0.03400
 0.52325 -1.30389 -0.61987	 0.00000 -0.01217  0.00000	 0.50069  0.15754  0.19348	 0.03400
 0.14343 -0.78235 -0.36178	 0.00000 -0.01217  0.00000	 0.50074  0.15756  0.19349	 0.03400
-3.70130  0.40725 -4.01076	-0.01874  0.00856 -0.08593	 0.50080  0.15758  0.19352	 0.03400
 0.02255 -0.64370 -0.91144	 0.00000 -0.01217  0.00000	 0.50085  0.15759  0.19354	 0.03400
-1.19021  11.70122 -1.35188	 0.01633  0.01337 -0.04076	 0.50090  0.15761  0.19356	 0.03400
 0.92702  9.66779 -0.91028	 0.00634  0.14324 -0.02533	 0.50093  0.15762  0.19357	 0.03400
 2.58948  17.93126  3.27823	 0.07167  0.00829 -0.05608	 0.50099  0.15763  0.19359	 0.03400
 0.23128 -0.95612 -0.82726	 0.00000 -0.01217  0.00000	 0.50102  0.15764  0.19360	 0.03400
-0.21373 -0.83859  0.00043	 0.00000 -0.01217  0.00000	 0.50108  0.15766  0.19362	 0.03400
-0.16786 -1.34230 -0.20840	 0.00000 -0.01217  0.00000	 0.50109  0.15767  0.19363	 0.03400
 0.07282 -0.67061 -0.75983	 0.00000 -0.01217  0.00000	 0.50117  0.15769  0.19366	 0.03400
-0.34921 -1.28241 -0.49537	 0.00000 -0.01217  0.00000	 0.50117  0.15769  0.19366	 0.03400
 5.36106  14.41447 -0.42529	-0.01025 -0.09330 -0.09146	 0.50125  0.15772  0.19369	 0.03400
 0.13845 -0.89290  0.17971	 0.00000 -0.01217  0.00000	 0.50129  0.15773  0.19371	 0.03400
-2.33274  0.12676 -0.05040	-0.02689 -0.00739  0.06450	 0.50131  0.15773  0.19371	 0.03400
-2.22076  12.80106  2.75811	-0.02641 -0.10663  0.02934	 0.50135  0.15774  0.19373	 0.03400
 0.54918  5.79465 -1.82031	-0.08902 -0.09853 -0.03331	 0.50139  0.15776  0.19374	 0.03400
 1.05115  17.69135 -0.93176	 0.04215 -0.03980  0.12332	 0.50146  0.15778  0.19377	 0.03400
-0.36388 -1.00923 -0.19614	 0.00000 -0.01217  0.00000	 0.50148  0.15779  0.19378	 0.03400
-1.31507  3.54304 -2.62234	-0.11661 -0.08845 -0.06464	 0.50155  0.15781  0.19381	 0.03400
 0.59103 -1.25807 -0.44256	 0.00000 -0.01217  0.00000	 0.50159  0.15782  0.19382	 0.03400
-1.53969  15.71918 -0.57754	-0.06760  0.11021  0.18094	 0.50161  0.15782  0.19383	 0.03400
 2.52996  19.43692  2.08282	 0.12602  0.00061 -0.05976	 0.50165  0.15784  0.19384	 0.03400
 0.91336  19.00201  0.37819	 0.04132  0.07916  0.10722	 0.50170  0.15785  0.19386	 0.03400
-3.89609  0.68162 -4.01744	-0.02626  0.01819 -0.05225	 0.50177  0.15788  0.19389	 0.03400
 0.20951 -1.24928 -0.05454	 0.00000 -0.01217  0.00000	 0.50179  0.15788  0.19390	 0.03400
-3.65523  3.35549  0.10839	-0.08463 -0.01818  0.01750	 0.50183  0.15789  0.19391	 0.03400
 0.13213 -0.96087 -0.32693	 0.00000 -0.01217  0.00000	 0.50188  0.15791  0.19393	 0.03400
-0.31227  16.87901  1.11317	 0.03963  0.03192  0.24558	 0.50192  0.15792  0.19395	 0.03400
-0.70140 -0.87966  0.07702	 0.00000 -0.01217  0.00000	 0.50196  0.15793  0.19396	 0.03400
-0.64477 -1.31434 -0.42919	 0.00000 -0.01217  0.00000	 0.50202  0.15795  0.19399	 0.03400
 1.38818  8.49389 -1.56863	 0.01667  0.04761 -0.00679	 0.50207  0.15797  0.19401	 0.03400
 0.68609 -1.29529 -0.02193	 0.00000 -0.01217  0.00000	 0.50210  0.15798  0.19402	 0.03400
